source,id,title,date,description,url,europeana_id,europeana_title
NASA_APOD,2007-07-09,The Most Distant Sun,2007-07-09,"When is the Sun most distant from Earth?  It happened again just this past weekend.  A common misconception is that the Sun is most distant during the winter, when it's the coldest.  In truth, however, the seasonal temperatures are more greatly influenced by the number of daylight hours and how high",https://apod.nasa.gov/apod/image/0707/suncloseandfar_cervigon.jpg,,
NASA_APOD,2006-10-06,Dusty NGC 1333,2006-10-06,"Dusty NGC 1333 is seen in visible light as a reflection nebula, dominated by bluish hues characteristic of starlight reflected by dust. But at longer infrared wavelengths, the interstellar dust itself glows. Moving your cursor over the picture will match up a visible light view with a false-color in",https://apod.nasa.gov/apod/image/0610/ngc1333spitzerrollover_f70_01.jpg,,
NASA_APOD,2020-01-20,Quadrantid Meteors through Orion,2020-01-20,"Why are these meteor trails nearly parallel? Because they were all shed by the same space rock and so can be traced back to the same direction on the sky: the radiant of the Quadrantid Meteor Shower.  This direction used to be toward the old constellation of Quadrans Muralis, hence the name Quadrant",https://apod.nasa.gov/apod/image/2001/QuadrantidsOrion_Horalek_960.jpg,,
NASA_APOD,2024-08-09,A Perseid Below,2024-08-09,"Denizens of planet Earth typically watch meteor showers by looking up. But this remarkable view, captured on August 13, 2011 by astronaut Ron Garan, caught a Perseid meteor by looking down. From Garan's perspective on board the International Space Station orbiting at an altitude of about 380 kilomet",https://apod.nasa.gov/apod/image/2408/perseid_iss_4256_1024c.jpg,,
NASA_APOD,2000-06-27,M63: The Sunflower Galaxy,2000-06-27,"One of the bright spiral galaxies visible in the north sky is M63, the Sunflower Galaxy.  M63, also catalogued as NGC 5055, can be found with a small telescope in the constellation of Canes Venaciti.  Visible in the above picture are long winding spiral arms glowing blue from a few bright young star",https://apod.nasa.gov/apod/image/0006/m63_subaru.jpg,,
NASA_APOD,2001-12-03,Dueling Auroras,2001-12-03,Tomorrow's picture: Star Flame  < | Archive | Index | Search | Calendar | Glossary | Education | About APOD | >  Authors & editors: Robert Nemiroff (MTU) & Jerry Bonnell (USRA) NASA Technical Rep.: Jay Norris. Specific rights apply. A service of: LHEA at NASA/ GSFC & Michigan Tech. U.,https://apod.nasa.gov/apod/image/0112/auroradouble_hoffman.jpg,,
NASA_APOD,2024-09-14,The Moona Lisa,2024-09-14,"Only natural colors of the Moon in planet Earth's sky appear in this creative visual presentation. Arranged as pixels in a framed image, the lunar disks were photographed at different times. Their varying hues are ultimately due to reflected sunlight affected by changing atmospheric conditions and t",https://apod.nasa.gov/apod/image/2409/Moonalisa_Example1024.jpg,,
NASA_APOD,2009-01-12,Unusual Light Pillars Over Latvia,2009-01-12,"What's happening over that town? Close inspection shows these strange columns of light occur over bright lights, and so likely involve falling ice crystals reflecting back these lights. The reason why these pillars fan out at the top, however, is currently unknown -- readers of APOD might help figur",https://apod.nasa.gov/apod/image/0901/icepillar_truhin.jpg,,
NASA_APOD,2007-10-10,The Strange Trailing Side of Saturn's Iapetus,2007-10-10,"What has happened to Saturn's moon Iapetus?  Vast sections of this strange world are dark as coal, while others are as bright as ice.  The composition of the dark material is unknown, but infrared spectra indicate that it possibly contains some dark form of carbon.  Iapetus also has an unusual equat",https://apod.nasa.gov/apod/image/0710/iapetus2_cassini.jpg,,
NASA_APOD,2009-09-29,"Orion in Gas, Dust, and Stars",2009-09-29,"The constellation of Orion holds much more than three stars in a row.  A deep exposure shows everything from dark nebula to star clusters, all imbedded in an extended patch of gaseous wisps in the greater Orion Molecular Cloud Complex.  The brightest three stars on the far left are indeed the famous",https://apod.nasa.gov/apod/image/0909/oriondeep_andreo.jpg,,
